run,hidden,epochs,epoch_loss,training_time_seconds,games_played,sub_optimal_games,train_file,play_file
root,32,50,0.196463,9.246,785,352,train.h32.txt,play.h32.e50.txt
root,32,100,0.083945,14.441,784,124,train.h32.txt,play.h32.e100.txt
root,32,150,0.026972,18.707,782,0,train.h32.txt,play.h32.e150.txt
root,32,200,0.006757,27.06,782,0,train.h32.txt,play.h32.e200.txt
root,32,250,0.002527,36.545,782,0,train.h32.txt,play.h32.e250.txt
root,32,300,0.001515,46.129,782,0,train.h32.txt,play.h32.e300.txt
root,32,350,0.001619,55.993,782,0,train.h32.txt,play.h32.e350.txt
root,32,400,0.000545,64.946,782,0,train.h32.txt,play.h32.e400.txt
root,64,50,0.119551,11.382,781,270,train.h64.txt,play.h64.e50.txt
root,64,100,0.007325,22.845,782,0,train.h64.txt,play.h64.e100.txt
root,64,150,0.001835,34.41,782,0,train.h64.txt,play.h64.e150.txt
root,64,200,0.002079,46.231,782,0,train.h64.txt,play.h64.e200.txt
root,64,250,0.000403,58.368,782,0,train.h64.txt,play.h64.e250.txt
root,64,300,9.6e-05,67.712,782,0,train.h64.txt,play.h64.e300.txt
root,64,350,1.5e-05,80.351,782,0,train.h64.txt,play.h64.e350.txt
root,64,400,0.003092,100.494,782,0,train.h64.txt,play.h64.e400.txt
root,128,50,0.017155,18.408,782,0,train.h128.txt,play.h128.e50.txt
root,128,100,0.000574,36.914,782,0,train.h128.txt,play.h128.e100.txt
root,128,150,6.2e-05,56.516,782,0,train.h128.txt,play.h128.e150.txt
root,128,200,8e-06,86.306,782,0,train.h128.txt,play.h128.e200.txt
root,128,250,1e-06,147.144,782,0,train.h128.txt,play.h128.e250.txt
root,128,300,0.0,248.014,782,0,train.h128.txt,play.h128.e300.txt
root,128,350,0.0,371.644,782,0,train.h128.txt,play.h128.e350.txt
root,128,400,0.000149,451.377,782,0,train.h128.txt,play.h128.e400.txt
root,256,50,0.00154,49.991,782,0,train.h256.txt,play.h256.e50.txt
root,256,100,0.000131,101.361,782,0,train.h256.txt,play.h256.e100.txt
root,256,150,1.5e-05,156.084,782,0,train.h256.txt,play.h256.e150.txt
root,256,200,2e-06,229.252,782,0,train.h256.txt,play.h256.e200.txt
root,256,250,0.0,356.966,782,0,train.h256.txt,play.h256.e250.txt
root,256,300,0.0,560.445,782,0,train.h256.txt,play.h256.e300.txt
root,256,350,0.0,805.5,782,0,train.h256.txt,play.h256.e350.txt
root,256,400,0.000256,882.502,782,0,train.h256.txt,play.h256.e400.txt
