run,epochs,hidden,final_loss,training_time_seconds,games_played,sub_optimal_games,train_file,play_file
root,50,32,0.46451,1.89,674,454,train.e50.h32.txt,play.e50.h32.txt
root,50,64,0.288238,6.072,743,479,train.e50.h64.txt,play.e50.h64.txt
root,50,128,0.166945,2.452,761,363,train.e50.h128.txt,play.e50.h128.txt
root,50,256,0.066929,8.682,772,64,train.e50.h256.txt,play.e50.h256.txt
root,100,32,0.381763,3.976,692,503,train.e100.h32.txt,play.e100.h32.txt
root,100,64,0.188668,4.133,778,397,train.e100.h64.txt,play.e100.h64.txt
root,100,128,0.058213,4.653,778,228,train.e100.h128.txt,play.e100.h128.txt
root,100,256,0.004796,7.757,782,0,train.e100.h256.txt,play.e100.h256.txt
root,150,32,0.297599,5.767,745,283,train.e150.h32.txt,play.e150.h32.txt
root,150,64,0.119989,18.354,766,344,train.e150.h64.txt,play.e150.h64.txt
root,150,128,0.012841,6.802,782,0,train.e150.h128.txt,play.e150.h128.txt
root,150,256,0.001613,14.479,782,0,train.e150.h256.txt,play.e150.h256.txt
root,200,32,0.25581,7.978,741,439,train.e200.h32.txt,play.e200.h32.txt
root,200,64,0.064258,24.343,791,152,train.e200.h64.txt,play.e200.h64.txt
root,200,128,0.003629,27.258,782,0,train.e200.h128.txt,play.e200.h128.txt
root,200,256,0.000587,35.448,782,0,train.e200.h256.txt,play.e200.h256.txt
root,250,32,0.274893,10.078,719,440,train.e250.h32.txt,play.e250.h32.txt
root,250,64,0.050081,10.909,776,147,train.e250.h64.txt,play.e250.h64.txt
root,250,128,0.002399,33.331,782,0,train.e250.h128.txt,play.e250.h128.txt
root,250,256,0.00022,19.835,782,0,train.e250.h256.txt,play.e250.h256.txt
root,300,32,0.243854,11.645,790,430,train.e300.h32.txt,play.e300.h32.txt
root,300,64,0.028342,12.279,782,0,train.e300.h64.txt,play.e300.h64.txt
root,300,128,0.001552,13.891,782,0,train.e300.h128.txt,play.e300.h128.txt
root,300,256,8e-05,50.689,782,0,train.e300.h256.txt,play.e300.h256.txt
root,350,32,0.214061,13.64,784,387,train.e350.h32.txt,play.e350.h32.txt
root,350,64,0.028016,14.373,778,10,train.e350.h64.txt,play.e350.h64.txt
root,350,128,0.000446,16.366,782,0,train.e350.h128.txt,play.e350.h128.txt
root,350,256,9.9e-05,59.72,782,0,train.e350.h256.txt,play.e350.h256.txt
root,400,32,0.175345,15.803,774,332,train.e400.h32.txt,play.e400.h32.txt
root,400,64,0.011856,48.781,782,0,train.e400.h64.txt,play.e400.h64.txt
root,400,128,0.000804,18.677,782,0,train.e400.h128.txt,play.e400.h128.txt
root,400,256,3.8e-05,64.378,782,0,train.e400.h256.txt,play.e400.h256.txt
