run,epochs,hidden,final_loss,training_time_seconds,games_played,sub_optimal_games,train_file,play_file
root,50,32,0.198422,4.388,767,367,train.e50.h32.txt,play.e50.h32.txt
root,50,64,0.103684,10.814,777,248,train.e50.h64.txt,play.e50.h64.txt
root,50,128,0.012124,18.223,783,6,train.e50.h128.txt,play.e50.h128.txt
root,50,256,0.0017,51.96,782,0,train.e50.h256.txt,play.e50.h256.txt
root,100,32,0.089225,18.094,806,213,train.e100.h32.txt,play.e100.h32.txt
root,100,64,0.008519,12.903,782,0,train.e100.h64.txt,play.e100.h64.txt
root,100,128,0.000641,39.79,782,0,train.e100.h128.txt,play.e100.h128.txt
root,100,256,0.00012,90.793,782,0,train.e100.h256.txt,play.e100.h256.txt
root,150,32,0.031564,27.279,795,115,train.e150.h32.txt,play.e150.h32.txt
root,150,64,0.002146,19.008,782,0,train.e150.h64.txt,play.e150.h64.txt
root,150,128,9.3e-05,46.255,782,0,train.e150.h128.txt,play.e150.h128.txt
root,150,256,1.5e-05,164.174,782,0,train.e150.h256.txt,play.e150.h256.txt
root,200,32,0.006002,28.212,782,0,train.e200.h32.txt,play.e200.h32.txt
root,200,64,0.000716,44.784,782,0,train.e200.h64.txt,play.e200.h64.txt
root,200,128,1.5e-05,67.912,782,0,train.e200.h128.txt,play.e200.h128.txt
root,200,256,2e-06,241.465,782,0,train.e200.h256.txt,play.e200.h256.txt
root,250,32,0.003082,46.195,782,0,train.e250.h32.txt,play.e250.h32.txt
root,250,64,0.000362,33.527,782,0,train.e250.h64.txt,play.e250.h64.txt
root,250,128,1e-06,146.46,782,0,train.e250.h128.txt,play.e250.h128.txt
root,250,256,0.0,382.805,782,0,train.e250.h256.txt,play.e250.h256.txt
root,300,32,0.001497,38.08,782,0,train.e300.h32.txt,play.e300.h32.txt
root,300,64,0.0002,75.548,782,0,train.e300.h64.txt,play.e300.h64.txt
root,300,128,0.0,299.34,782,0,train.e300.h128.txt,play.e300.h128.txt
root,300,256,0.0,624.678,782,0,train.e300.h256.txt,play.e300.h256.txt
root,350,32,0.000866,62.668,782,0,train.e350.h32.txt,play.e350.h32.txt
root,350,64,4.2e-05,51.867,782,0,train.e350.h64.txt,play.e350.h64.txt
root,350,128,0.0,394.028,782,0,train.e350.h128.txt,play.e350.h128.txt
root,350,256,0.0,750.49,782,0,train.e350.h256.txt,play.e350.h256.txt
root,400,32,0.00112,63.791,782,0,train.e400.h32.txt,play.e400.h32.txt
root,400,64,1e-06,109.464,782,0,train.e400.h64.txt,play.e400.h64.txt
root,400,128,0.000213,439.274,782,0,train.e400.h128.txt,play.e400.h128.txt
root,400,256,0.000231,910.432,782,0,train.e400.h256.txt,play.e400.h256.txt
