run,hidden,epochs,epoch_loss,training_time_seconds,games_played,sub_optimal_games,train_file,play_file
root,32,50,0.377026,5.408,687,458,train.h32.txt,play.h32.e50.txt
root,32,100,0.324853,9.55,745,423,train.h32.txt,play.h32.e100.txt
root,32,150,0.289329,13.493,724,467,train.h32.txt,play.h32.e150.txt
root,32,200,0.263487,18.937,741,388,train.h32.txt,play.h32.e200.txt
root,32,250,0.240571,21.93,731,346,train.h32.txt,play.h32.e250.txt
root,32,300,0.219585,27.023,750,357,train.h32.txt,play.h32.e300.txt
root,32,350,0.203788,33.11,747,434,train.h32.txt,play.h32.e350.txt
root,32,400,0.187127,38.917,745,407,train.h32.txt,play.h32.e400.txt
root,32,450,0.174126,45.371,758,391,train.h32.txt,play.h32.e450.txt
root,32,500,0.162138,51.851,759,421,train.h32.txt,play.h32.e500.txt
root,32,550,0.151264,57.552,759,422,train.h32.txt,play.h32.e550.txt
root,32,600,0.140159,61.209,757,426,train.h32.txt,play.h32.e600.txt
root,32,650,0.128175,64.583,761,341,train.h32.txt,play.h32.e650.txt
root,32,700,0.122077,71.11,754,253,train.h32.txt,play.h32.e700.txt
root,32,750,0.114288,77.611,763,388,train.h32.txt,play.h32.e750.txt
root,32,800,0.106959,84.121,759,319,train.h32.txt,play.h32.e800.txt
root,64,50,0.342086,2.928,725,505,train.h64.txt,play.h64.e50.txt
root,64,100,0.278038,5.842,724,424,train.h64.txt,play.h64.e100.txt
root,64,150,0.231914,8.757,767,408,train.h64.txt,play.h64.e150.txt
root,64,200,0.198305,11.67,769,384,train.h64.txt,play.h64.e200.txt
root,64,250,0.167994,14.581,754,366,train.h64.txt,play.h64.e250.txt
root,64,300,0.143462,17.501,773,287,train.h64.txt,play.h64.e300.txt
root,64,350,0.121937,20.427,775,199,train.h64.txt,play.h64.e350.txt
root,64,400,0.105526,23.32,764,259,train.h64.txt,play.h64.e400.txt
root,64,450,0.091081,26.214,775,166,train.h64.txt,play.h64.e450.txt
root,64,500,0.076068,29.128,772,116,train.h64.txt,play.h64.e500.txt
root,64,550,0.062817,32.038,774,107,train.h64.txt,play.h64.e550.txt
root,64,600,0.055487,35.063,776,103,train.h64.txt,play.h64.e600.txt
root,64,650,0.04472,38.094,792,96,train.h64.txt,play.h64.e650.txt
root,64,700,0.038317,41.39,792,89,train.h64.txt,play.h64.e700.txt
root,64,750,0.03227,44.695,778,0,train.h64.txt,play.h64.e750.txt
root,64,800,0.025449,47.778,782,0,train.h64.txt,play.h64.e800.txt
root,128,50,0.31479,7.188,708,454,train.h128.txt,play.h128.e50.txt
root,128,100,0.235826,14.354,758,367,train.h128.txt,play.h128.e100.txt
root,128,150,0.174985,21.533,777,278,train.h128.txt,play.h128.e150.txt
root,128,200,0.135392,28.703,772,283,train.h128.txt,play.h128.e200.txt
root,128,250,0.100247,35.853,770,285,train.h128.txt,play.h128.e250.txt
root,128,300,0.074653,43.052,798,190,train.h128.txt,play.h128.e300.txt
root,128,350,0.053788,50.199,796,182,train.h128.txt,play.h128.e350.txt
root,128,400,0.03895,57.397,776,9,train.h128.txt,play.h128.e400.txt
root,128,450,0.027585,64.602,782,0,train.h128.txt,play.h128.e450.txt
root,128,500,0.021506,71.896,782,0,train.h128.txt,play.h128.e500.txt
root,128,550,0.013587,79.443,782,0,train.h128.txt,play.h128.e550.txt
root,128,600,0.010859,87.427,782,0,train.h128.txt,play.h128.e600.txt
root,128,650,0.006572,95.922,782,0,train.h128.txt,play.h128.e650.txt
root,128,700,0.005559,104.872,782,0,train.h128.txt,play.h128.e700.txt
root,128,750,0.041127,114.202,790,36,train.h128.txt,play.h128.e750.txt
root,128,800,0.002591,124.075,782,0,train.h128.txt,play.h128.e800.txt
root,256,50,0.274499,5.783,730,472,train.h256.txt,play.h256.e50.txt
root,256,100,0.179067,15.379,766,306,train.h256.txt,play.h256.e100.txt
root,256,150,0.115382,25.423,752,338,train.h256.txt,play.h256.e150.txt
root,256,200,0.073023,35.469,754,156,train.h256.txt,play.h256.e200.txt
root,256,250,0.046207,45.432,764,96,train.h256.txt,play.h256.e250.txt
root,256,300,0.027223,55.472,796,89,train.h256.txt,play.h256.e300.txt
root,256,350,0.016944,65.77,782,0,train.h256.txt,play.h256.e350.txt
root,256,400,0.007818,76.422,782,0,train.h256.txt,play.h256.e400.txt
root,256,450,0.005101,87.577,782,0,train.h256.txt,play.h256.e450.txt
root,256,500,0.003655,99.347,782,0,train.h256.txt,play.h256.e500.txt
root,256,550,0.002759,111.802,782,0,train.h256.txt,play.h256.e550.txt
root,256,600,0.002487,124.422,782,0,train.h256.txt,play.h256.e600.txt
root,256,650,0.001576,137.94,782,0,train.h256.txt,play.h256.e650.txt
root,256,700,0.001257,152.02,782,0,train.h256.txt,play.h256.e700.txt
root,256,750,0.001061,166.352,782,0,train.h256.txt,play.h256.e750.txt
root,256,800,0.004075,179.455,782,0,train.h256.txt,play.h256.e800.txt
