run,hidden,epochs,epoch_loss,training_time_seconds,games_played,sub_optimal_games,train_file,play_file
root,32,50,2.053521,29.387,932,836,train.h32.txt,play.h32.e50.txt
root,32,100,2.055088,58.292,930,849,train.h32.txt,play.h32.e100.txt
root,32,150,2.054479,87.793,906,819,train.h32.txt,play.h32.e150.txt
root,32,200,2.04814,116.272,1029,944,train.h32.txt,play.h32.e200.txt
root,32,250,2.046898,146.11,992,930,train.h32.txt,play.h32.e250.txt
root,32,300,2.047103,175.687,964,889,train.h32.txt,play.h32.e300.txt
root,32,350,2.046371,205.528,1000,928,train.h32.txt,play.h32.e350.txt
root,32,400,2.048463,234.827,1011,921,train.h32.txt,play.h32.e400.txt
root,32,450,2.049963,264.561,868,793,train.h32.txt,play.h32.e450.txt
root,32,500,2.045631,293.928,986,910,train.h32.txt,play.h32.e500.txt
root,32,550,2.046196,323.518,1005,931,train.h32.txt,play.h32.e550.txt
root,32,600,2.04555,353.019,1004,932,train.h32.txt,play.h32.e600.txt
root,32,650,2.04806,382.551,998,907,train.h32.txt,play.h32.e650.txt
root,32,700,2.04591,411.751,984,909,train.h32.txt,play.h32.e700.txt
root,32,750,2.046699,441.422,1021,929,train.h32.txt,play.h32.e750.txt
root,32,800,2.046053,471.04,996,928,train.h32.txt,play.h32.e800.txt
root,64,50,2.056244,106.339,982,874,train.h64.txt,play.h64.e50.txt
root,64,100,2.052404,213.893,1024,925,train.h64.txt,play.h64.e100.txt
root,64,150,2.049309,321.669,1064,955,train.h64.txt,play.h64.e150.txt
root,64,200,2.052022,435.379,1029,912,train.h64.txt,play.h64.e200.txt
root,64,250,2.052052,548.18,1039,950,train.h64.txt,play.h64.e250.txt
root,64,300,2.050742,663.138,1034,913,train.h64.txt,play.h64.e300.txt
root,64,350,2.047497,772.448,1064,967,train.h64.txt,play.h64.e350.txt
root,64,400,2.047948,880.827,1068,951,train.h64.txt,play.h64.e400.txt
root,64,450,2.047382,989.235,1015,922,train.h64.txt,play.h64.e450.txt
root,64,500,2.048603,1097.097,1070,967,train.h64.txt,play.h64.e500.txt
root,64,550,2.050579,1206.633,825,739,train.h64.txt,play.h64.e550.txt
root,64,600,2.059353,1314.631,1034,931,train.h64.txt,play.h64.e600.txt
root,64,650,2.052796,1422.463,1018,945,train.h64.txt,play.h64.e650.txt
root,64,700,2.047069,1529.802,966,911,train.h64.txt,play.h64.e700.txt
root,64,750,2.050649,1638.471,1057,960,train.h64.txt,play.h64.e750.txt
root,64,800,2.047275,1748.466,1049,945,train.h64.txt,play.h64.e800.txt
root,128,50,2.058555,428.729,979,909,train.h128.txt,play.h128.e50.txt
root,128,100,2.057432,860.148,1004,899,train.h128.txt,play.h128.e100.txt
root,128,150,2.056097,1295.431,1032,935,train.h128.txt,play.h128.e150.txt
root,128,200,2.059306,1733.562,1075,945,train.h128.txt,play.h128.e200.txt
root,128,250,2.053528,2159.731,1020,934,train.h128.txt,play.h128.e250.txt
root,128,300,2.05396,2587.052,930,847,train.h128.txt,play.h128.e300.txt
root,128,350,2.063205,3027.107,951,848,train.h128.txt,play.h128.e350.txt
root,128,400,2.056333,3470.247,921,828,train.h128.txt,play.h128.e400.txt
root,128,450,2.060239,3899.237,1023,942,train.h128.txt,play.h128.e450.txt
root,128,500,2.073825,4333.257,1152,1102,train.h128.txt,play.h128.e500.txt
root,128,550,2.051034,4776.813,967,881,train.h128.txt,play.h128.e550.txt
root,128,600,2.059222,5213.535,813,715,train.h128.txt,play.h128.e600.txt
root,128,650,2.053969,5649.855,977,905,train.h128.txt,play.h128.e650.txt
root,128,700,2.056882,6085.826,881,815,train.h128.txt,play.h128.e700.txt
root,128,750,2.053594,6513.492,952,863,train.h128.txt,play.h128.e750.txt
root,128,800,2.051341,6954.75,976,906,train.h128.txt,play.h128.e800.txt
root,256,50,2.058491,1565.777,1000,913,train.h256.txt,play.h256.e50.txt
root,256,100,2.069885,3146.219,968,900,train.h256.txt,play.h256.e100.txt
root,256,150,2.072683,4743.558,975,904,train.h256.txt,play.h256.e150.txt
root,256,200,2.066227,6361.536,979,920,train.h256.txt,play.h256.e200.txt
root,256,250,2.066447,7977.182,966,896,train.h256.txt,play.h256.e250.txt
root,256,300,2.066581,9588.974,1041,974,train.h256.txt,play.h256.e300.txt
root,256,350,2.062208,11214.137,1044,970,train.h256.txt,play.h256.e350.txt
root,256,400,2.067476,12950.06,1091,971,train.h256.txt,play.h256.e400.txt
root,256,450,2.077228,14650.924,942,857,train.h256.txt,play.h256.e450.txt
root,256,500,2.061904,16338.357,1086,990,train.h256.txt,play.h256.e500.txt
root,256,550,2.073378,17976.895,961,874,train.h256.txt,play.h256.e550.txt
root,256,600,2.06939,19633.871,1045,971,train.h256.txt,play.h256.e600.txt
root,256,650,2.064519,21326.238,1043,941,train.h256.txt,play.h256.e650.txt
root,256,700,2.0624,23010.112,977,915,train.h256.txt,play.h256.e700.txt
root,256,750,2.058719,24641.918,991,917,train.h256.txt,play.h256.e750.txt
root,256,800,2.07765,26276.713,1061,984,train.h256.txt,play.h256.e800.txt
