run,hidden,epochs,epoch_loss,training_time_seconds,games_played,sub_optimal_games,train_file,play_file
root,32,50,0.108937,11.687,820,305,train.h32.txt,play.h32.e50.txt
root,32,100,0.036589,21.721,778,0,train.h32.txt,play.h32.e100.txt
root,32,150,0.001788,33.528,782,0,train.h32.txt,play.h32.e150.txt
root,32,200,0.000335,43.33,782,0,train.h32.txt,play.h32.e200.txt
root,32,250,4.4e-05,58.267,782,0,train.h32.txt,play.h32.e250.txt
root,32,300,6e-06,80.132,782,0,train.h32.txt,play.h32.e300.txt
root,32,350,1e-06,105.717,782,0,train.h32.txt,play.h32.e350.txt
root,32,400,9e-05,126.045,782,0,train.h32.txt,play.h32.e400.txt
root,64,50,0.004947,15.198,782,0,train.h64.txt,play.h64.e50.txt
root,64,100,0.000253,31.3,782,0,train.h64.txt,play.h64.e100.txt
root,64,150,2.7e-05,53.907,782,0,train.h64.txt,play.h64.e150.txt
root,64,200,3e-06,97.152,782,0,train.h64.txt,play.h64.e200.txt
root,64,250,0.0,164.935,782,0,train.h64.txt,play.h64.e250.txt
root,64,300,0.0,240.946,782,0,train.h64.txt,play.h64.e300.txt
root,64,350,0.0,324.339,782,0,train.h64.txt,play.h64.e350.txt
root,64,400,0.000286,343.769,782,0,train.h64.txt,play.h64.e400.txt
root,128,50,0.000318,32.552,782,0,train.h128.txt,play.h128.e50.txt
root,128,100,3.9e-05,65.356,782,0,train.h128.txt,play.h128.e100.txt
root,128,150,6e-06,104.385,782,0,train.h128.txt,play.h128.e150.txt
root,128,200,1e-06,163.664,782,0,train.h128.txt,play.h128.e200.txt
root,128,250,0.0,280.405,782,0,train.h128.txt,play.h128.e250.txt
root,128,300,0.0,480.227,782,0,train.h128.txt,play.h128.e300.txt
root,128,350,0.001847,683.403,782,0,train.h128.txt,play.h128.e350.txt
root,128,400,6.4e-05,714.732,782,0,train.h128.txt,play.h128.e400.txt
root,256,50,8e-05,96.133,782,0,train.h256.txt,play.h256.e50.txt
root,256,100,1e-05,203.241,782,0,train.h256.txt,play.h256.e100.txt
root,256,150,1e-06,344.361,782,0,train.h256.txt,play.h256.e150.txt
root,256,200,0.0,546.525,782,0,train.h256.txt,play.h256.e200.txt
root,256,250,0.0,826.356,782,0,train.h256.txt,play.h256.e250.txt
root,256,300,0.0,1191.678,782,0,train.h256.txt,play.h256.e300.txt
root,256,350,0.000158,1468.5,782,0,train.h256.txt,play.h256.e350.txt
root,256,400,1.1e-05,1582.79,782,0,train.h256.txt,play.h256.e400.txt
