run,hidden,epochs,epoch_loss,training_time_seconds,games_played,sub_optimal_games,train_file,play_file
root,32,50,0.52065,1.688,693,583,train.h32.txt,play.h32.e50.txt
root,32,100,0.421661,3.364,691,557,train.h32.txt,play.h32.e100.txt
root,32,150,0.385846,5.044,703,539,train.h32.txt,play.h32.e150.txt
root,32,200,0.366427,6.719,703,539,train.h32.txt,play.h32.e200.txt
root,32,250,0.354029,8.386,717,534,train.h32.txt,play.h32.e250.txt
root,32,300,0.345879,10.06,705,529,train.h32.txt,play.h32.e300.txt
root,32,350,0.338875,11.722,713,536,train.h32.txt,play.h32.e350.txt
root,32,400,0.334257,13.415,731,492,train.h32.txt,play.h32.e400.txt
root,32,450,0.331113,15.068,740,501,train.h32.txt,play.h32.e450.txt
root,32,500,0.326404,16.719,722,472,train.h32.txt,play.h32.e500.txt
root,32,550,0.322972,18.375,722,472,train.h32.txt,play.h32.e550.txt
root,32,600,0.320519,20.092,725,472,train.h32.txt,play.h32.e600.txt
root,32,650,0.316011,21.751,719,478,train.h32.txt,play.h32.e650.txt
root,32,700,0.313879,23.407,715,471,train.h32.txt,play.h32.e700.txt
root,32,750,0.312041,25.062,729,482,train.h32.txt,play.h32.e750.txt
root,32,800,0.309053,26.715,733,481,train.h32.txt,play.h32.e800.txt
root,64,50,0.405682,1.735,698,524,train.h64.txt,play.h64.e50.txt
root,64,100,0.337815,3.457,713,566,train.h64.txt,play.h64.e100.txt
root,64,150,0.309832,5.162,719,512,train.h64.txt,play.h64.e150.txt
root,64,200,0.291024,6.885,739,509,train.h64.txt,play.h64.e200.txt
root,64,250,0.272826,8.608,700,487,train.h64.txt,play.h64.e250.txt
root,64,300,0.25806,10.315,706,425,train.h64.txt,play.h64.e300.txt
root,64,350,0.24531,12.017,718,399,train.h64.txt,play.h64.e350.txt
root,64,400,0.233162,13.724,717,395,train.h64.txt,play.h64.e400.txt
root,64,450,0.223729,15.513,726,403,train.h64.txt,play.h64.e450.txt
root,64,500,0.21478,17.304,731,428,train.h64.txt,play.h64.e500.txt
root,64,550,0.207782,19.05,742,394,train.h64.txt,play.h64.e550.txt
root,64,600,0.199545,20.815,744,409,train.h64.txt,play.h64.e600.txt
root,64,650,0.191659,22.587,747,340,train.h64.txt,play.h64.e650.txt
root,64,700,0.186379,24.363,739,315,train.h64.txt,play.h64.e700.txt
root,64,750,0.180969,26.14,739,326,train.h64.txt,play.h64.e750.txt
root,64,800,0.176421,27.842,740,336,train.h64.txt,play.h64.e800.txt
root,128,50,0.355684,1.76,696,506,train.h128.txt,play.h128.e50.txt
root,128,100,0.29051,3.517,727,477,train.h128.txt,play.h128.e100.txt
root,128,150,0.254165,5.283,760,464,train.h128.txt,play.h128.e150.txt
root,128,200,0.223904,7.051,753,375,train.h128.txt,play.h128.e200.txt
root,128,250,0.202863,8.793,746,354,train.h128.txt,play.h128.e250.txt
root,128,300,0.18301,10.542,747,347,train.h128.txt,play.h128.e300.txt
root,128,350,0.165226,12.287,739,292,train.h128.txt,play.h128.e350.txt
root,128,400,0.148356,14.036,759,333,train.h128.txt,play.h128.e400.txt
root,128,450,0.135206,15.791,766,259,train.h128.txt,play.h128.e450.txt
root,128,500,0.120429,17.543,744,153,train.h128.txt,play.h128.e500.txt
root,128,550,0.109094,19.286,744,141,train.h128.txt,play.h128.e550.txt
root,128,600,0.097833,21.039,750,149,train.h128.txt,play.h128.e600.txt
root,128,650,0.086774,22.783,776,86,train.h128.txt,play.h128.e650.txt
root,128,700,0.077489,24.532,772,90,train.h128.txt,play.h128.e700.txt
root,128,750,0.069994,26.312,774,7,train.h128.txt,play.h128.e750.txt
root,128,800,0.063034,28.088,764,67,train.h128.txt,play.h128.e800.txt
root,256,50,0.313712,1.953,744,559,train.h256.txt,play.h256.e50.txt
root,256,100,0.240537,3.984,728,409,train.h256.txt,play.h256.e100.txt
root,256,150,0.192054,5.959,729,396,train.h256.txt,play.h256.e150.txt
root,256,200,0.153737,7.899,729,343,train.h256.txt,play.h256.e200.txt
root,256,250,0.123298,9.82,720,306,train.h256.txt,play.h256.e250.txt
root,256,300,0.098052,11.753,736,316,train.h256.txt,play.h256.e300.txt
root,256,350,0.076507,13.696,736,287,train.h256.txt,play.h256.e350.txt
root,256,400,0.058889,15.635,778,72,train.h256.txt,play.h256.e400.txt
root,256,450,0.043849,17.568,782,0,train.h256.txt,play.h256.e450.txt
root,256,500,0.032074,19.499,788,15,train.h256.txt,play.h256.e500.txt
root,256,550,0.0239,21.434,788,15,train.h256.txt,play.h256.e550.txt
root,256,600,0.016766,23.364,782,0,train.h256.txt,play.h256.e600.txt
root,256,650,0.011397,25.359,782,0,train.h256.txt,play.h256.e650.txt
root,256,700,0.008106,27.401,782,0,train.h256.txt,play.h256.e700.txt
root,256,750,0.005677,29.391,782,0,train.h256.txt,play.h256.e750.txt
root,256,800,0.003897,31.454,782,0,train.h256.txt,play.h256.e800.txt
