run,hidden,epochs,epoch_loss,training_time_seconds,games_played,sub_optimal_games,train_file,play_file
root,32,50,0.237491,7.495,758,460,train.h32.txt,play.h32.e50.txt
root,32,100,0.14289,15.113,738,312,train.h32.txt,play.h32.e100.txt
root,32,150,0.068422,22.928,786,111,train.h32.txt,play.h32.e150.txt
root,32,200,0.028452,31.32,782,0,train.h32.txt,play.h32.e200.txt
root,32,250,0.008519,39.387,782,0,train.h32.txt,play.h32.e250.txt
root,32,300,0.003675,47.968,782,0,train.h32.txt,play.h32.e300.txt
root,32,350,0.002119,55.969,782,0,train.h32.txt,play.h32.e350.txt
root,32,400,0.001371,64.308,782,0,train.h32.txt,play.h32.e400.txt
root,64,50,0.1463,7.345,761,347,train.h64.txt,play.h64.e50.txt
root,64,100,0.026625,16.885,770,7,train.h64.txt,play.h64.e100.txt
root,64,150,0.003356,22.918,782,0,train.h64.txt,play.h64.e150.txt
root,64,200,0.001311,30.542,782,0,train.h64.txt,play.h64.e200.txt
root,64,250,0.000874,39.919,782,0,train.h64.txt,play.h64.e250.txt
root,64,300,0.000246,50.846,782,0,train.h64.txt,play.h64.e300.txt
root,64,350,0.000309,61.175,782,0,train.h64.txt,play.h64.e350.txt
root,64,400,0.000116,73.149,782,0,train.h64.txt,play.h64.e400.txt
root,128,50,0.05132,13.337,795,105,train.h128.txt,play.h128.e50.txt
root,128,100,0.001997,27.091,782,0,train.h128.txt,play.h128.e100.txt
root,128,150,0.000226,42.404,782,0,train.h128.txt,play.h128.e150.txt
root,128,200,2.5e-05,60.982,782,0,train.h128.txt,play.h128.e200.txt
root,128,250,3e-06,89.429,782,0,train.h128.txt,play.h128.e250.txt
root,128,300,0.0,139.606,782,0,train.h128.txt,play.h128.e300.txt
root,128,350,0.162111,205.684,801,113,train.h128.txt,play.h128.e350.txt
root,128,400,6.4e-05,244.913,782,0,train.h128.txt,play.h128.e400.txt
root,256,50,0.003414,31.102,782,0,train.h256.txt,play.h256.e50.txt
root,256,100,0.000245,63.402,782,0,train.h256.txt,play.h256.e100.txt
root,256,150,2.8e-05,100.266,782,0,train.h256.txt,play.h256.e150.txt
root,256,200,4e-06,157.549,782,0,train.h256.txt,play.h256.e200.txt
root,256,250,0.0,255.569,782,0,train.h256.txt,play.h256.e250.txt
root,256,300,0.0,400.274,782,0,train.h256.txt,play.h256.e300.txt
root,256,350,0.0,588.983,782,0,train.h256.txt,play.h256.e350.txt
root,256,400,0.000235,682.803,782,0,train.h256.txt,play.h256.e400.txt
