run,hidden,epochs,epoch_loss,training_time_seconds,games_played,sub_optimal_games,train_file,play_file
root,32,50,0.484495,5.877,692,483,train.h32.txt,play.h32.e50.txt
root,32,100,0.358004,11.777,715,472,train.h32.txt,play.h32.e100.txt
root,32,150,0.301139,17.657,731,465,train.h32.txt,play.h32.e150.txt
root,32,200,0.265019,23.541,729,453,train.h32.txt,play.h32.e200.txt
root,32,250,0.241959,29.424,766,439,train.h32.txt,play.h32.e250.txt
root,32,300,0.223971,35.309,746,417,train.h32.txt,play.h32.e300.txt
root,32,350,0.204662,41.192,753,423,train.h32.txt,play.h32.e350.txt
root,32,400,0.191469,47.065,751,340,train.h32.txt,play.h32.e400.txt
root,64,50,0.29468,2.157,743,397,train.h64.txt,play.h64.e50.txt
root,64,100,0.192214,4.317,768,407,train.h64.txt,play.h64.e100.txt
root,64,150,0.123746,6.475,793,265,train.h64.txt,play.h64.e150.txt
root,64,200,0.081331,8.629,799,196,train.h64.txt,play.h64.e200.txt
root,64,250,0.044495,10.788,790,104,train.h64.txt,play.h64.e250.txt
root,64,300,0.022468,12.957,790,0,train.h64.txt,play.h64.e300.txt
root,64,350,0.011257,18.297,782,0,train.h64.txt,play.h64.e350.txt
root,64,400,0.004171,24.739,782,0,train.h64.txt,play.h64.e400.txt
root,128,50,0.175528,6.729,767,382,train.h128.txt,play.h128.e50.txt
root,128,100,0.062174,13.518,788,188,train.h128.txt,play.h128.e100.txt
root,128,150,0.015162,20.309,782,0,train.h128.txt,play.h128.e150.txt
root,128,200,0.003367,27.233,782,0,train.h128.txt,play.h128.e200.txt
root,128,250,0.00154,34.142,782,0,train.h128.txt,play.h128.e250.txt
root,128,300,0.001289,41.279,782,0,train.h128.txt,play.h128.e300.txt
root,128,350,0.000517,48.697,782,0,train.h128.txt,play.h128.e350.txt
root,128,400,0.000611,56.513,782,0,train.h128.txt,play.h128.e400.txt
root,256,50,0.086274,4.104,794,96,train.h256.txt,play.h256.e50.txt
root,256,100,0.005593,8.445,782,0,train.h256.txt,play.h256.e100.txt
root,256,150,0.175902,12.795,804,113,train.h256.txt,play.h256.e150.txt
root,256,200,0.000706,17.185,782,0,train.h256.txt,play.h256.e200.txt
root,256,250,0.000174,21.676,782,0,train.h256.txt,play.h256.e250.txt
root,256,300,2.9e-05,26.579,782,0,train.h256.txt,play.h256.e300.txt
root,256,350,0.000144,31.815,782,0,train.h256.txt,play.h256.e350.txt
root,256,400,4.8e-05,35.983,782,0,train.h256.txt,play.h256.e400.txt
